,lat,lon,carpark_number,lat_rad,long_rad,day,hour,total_lots,Region
295801,1.370370615,103.8546519,A48,0.0239174792043295,1.8126056191675848,20,0,62,Central
295802,1.308535815,103.7927014,Q80,0.0228382583520174,1.811524378969328,20,0,31,South
295803,1.308233924,103.7920453,Q85,0.0228329893600852,1.8115129278641056,20,0,148,South
295804,1.432522376,103.8341938,Y6,0.0250022320696922,1.8122485579638823,20,0,366,North
295805,1.430749642,103.8408845,Y41M,0.0249712920246301,1.8123653327081457,20,0,342,North
295806,1.29620568,103.8038243,Q17,0.022623056899052,1.8117185101966984,20,0,34,South
295807,1.2953465,103.8044049,Q96,0.0226080613791847,1.811728643578335,20,0,201,South
295808,1.33110452,103.9276031,B43,0.0232321565621787,1.8138788578008656,20,0,217,East
295809,1.328685065,103.9255765,CC10,0.0231899291063248,1.813843486958245,20,0,233,East
295810,1.32771945,103.9259948,CC9,0.0231730759452682,1.813850787670506,20,0,123,East
295811,1.323576593,103.855421,BR4,0.0231007694501789,1.812619042494862,20,0,321,Central
295812,1.308311263,103.7936985,Q75M,0.0228343391802754,1.8115417816473,20,0,509,South
295813,1.296933059,103.8037163,Q16,0.0226357520575118,1.811716625241106,20,0,19,South
295814,1.321923879,103.9409606,B19,0.0230719241492851,1.8141119901557008,20,0,860,East
295815,1.368632315,103.8445237,A10,0.0238871401459421,1.812428848730284,20,0,64,Central
295816,1.368755404,103.8433074,A8,0.0238892884542651,1.8124076202905923,20,0,52,Central
295817,1.325512314,103.9350824,B95,0.0231345541550289,1.81400939621161,20,0,359,East
295818,1.28809323,103.8293711,H4,0.0224814679361486,1.8121643859700467,20,0,102,South
295819,1.281954473,103.8432991,KAM,0.0223743264145187,1.812407475428264,20,0,396,South
295820,1.282329496,103.8432573,KAML,0.0223808718006394,1.812406745880637,20,0,5,South
295821,1.3370739,103.6971776,JM21,0.0233363418974814,1.809857174145312,20,0,459,West
295822,1.306252642,103.8003913,Q73,0.0227984094657747,1.8116585930434768,20,0,25,South
295823,1.307345404,103.8005489,Q70,0.0228174817606154,1.811661343682378,20,0,25,South
295824,1.307172146,103.800543,Q67,0.02281445783806,1.8116612407079524,20,0,78,South
295825,1.341297373,103.6911286,J66,0.0234100554072004,1.8097515991788584,20,0,77,West
295826,1.341643322,103.6927619,J67,0.0234160933562944,1.809780105641531,20,0,156,West
295827,1.308727645,103.7858203,GMLM,0.0228416064171215,1.811404281118169,20,0,1530,South
295828,1.311155238,103.7888527,GM3,0.0228839759078698,1.8114572064824064,20,0,56,South
295829,1.310870374,103.787264,GM2A,0.0228790040931494,1.81142947843658,20,0,146,South
295830,1.421303172,103.8379894,Y36,0.0248064200204392,1.812314803680971,20,0,287,North
295831,1.390326303,103.7423969,CK35,0.0242657716644303,1.8106463998157585,20,0,345,West
295832,1.394678303,103.9045507,SK18,0.0243417283934771,1.8134765175203789,20,0,665,East
295833,1.33537642,103.7009561,JM20,0.0233067152824946,1.809923121411098,20,0,923,West
295834,1.291368997,103.8289833,H6,0.0225386408558267,1.812157617583208,20,0,212,South
295835,1.401879344,103.7448787,CK58,0.0244674102684982,1.8106897153971344,20,0,2637,West
295836,1.398384171,103.7467446,CKM2,0.0244064079917214,1.810722281495648,20,0,301,West
295837,1.377976445,103.8388345,A76,0.0240502259801765,1.81232955345848,20,0,636,Central
295838,1.323210457,103.9349422,B81,0.0230943791714688,1.8140069492599984,20,0,622,East
295839,1.376556565,103.7467133,CK77,0.0240254443991933,1.8107217352075915,20,0,798,West
295840,1.395192904,103.8998432,SK35,0.0243507098752611,1.8133943561458408,20,0,1044,East
295841,1.306704123,103.799497,Q66,0.0228062892957349,1.8116429845639763,20,0,97,South
295842,1.398716624,103.9163885,PL17,0.0244122103911795,1.813683126106572,20,0,609,East
